Tanggal,Jenis Produk,Jumlah Order,Harga,Total
16/08/22,Dupleks 310,2000.00,"Rp1.750,00","Rp3.500.000,00"
16/08/22,Dupleks 350,2000.00,"Rp1.975,00","Rp3.950.000,00"
16/08/22,Kinstruk 130,2000.00,"Rp500,00","Rp1.000.000,00"
18/08/22,,,,
18/08/22,Dupleks 270 ,500,"Rp2.200,00","Rp1.100.000,00"
18/08/22,Kinstruk 150,500,"Rp900,00","Rp450.000,00"
18/08/22,Foodpak Matte 245,1000.00,"Rp1.800,00","Rp1.800.000,00"
22/08/22,Dupleks 310,2000.00,"Rp1.710,00","Rp3.420.000,00"
22/08/22,Craft Foodpak 290,3500.00,"Rp1.300,00","Rp4.550.000,00"
22/08/22,Dupleks 310,1000.00,"Rp1.900,00","Rp1.900.000,00"
22/08/22,Kinstruk 260,3500.00,"Rp1.650,00","Rp5.775.000,00"
22/08/22,,,"Rp1.200,00","Rp2.400.000,00"
22/08/22,Craft Foodpak 290,2000.00,"Rp1.850,00","Rp3.700.000,00"
22/08/22,Dupleks 310 ,2000.00,"Rp1.800,00","Rp3.600.000,00"
22/08/22,,1000.00,"Rp2.300,00","Rp2.300.000,00"
29/08/22,Dupleks 310 ,1000.00,"Rp1.550,00","Rp1.550.000,00"
29/08/22,Ivory 230,2000.00,"Rp1.450,00","Rp2.900.000,00"
29/08/22,Dupleks 310 ,1000.00,"Rp1.800,00","Rp1.800.000,00"
30/08/22,Ivory 300,1000.00,"Rp1.700,00","Rp1.700.000,00"
30/08/22,Dupleks 310,1500.00,"Rp1.900,00","Rp2.850.000,00"
30/08/22,Dupleks 270 Eplex,3000.00,"Rp1.300,00","Rp3.900.000,00"
30/08/22,Dupleks 310,1000.00,"Rp2.200,00","Rp2.200.000,00"
31/08/22,Ivory 250,1000.00,"Rp1.600,00","Rp1.600.000,00"
31/08/22,Grease Proof,1000.00,"Rp400,00","Rp400.000,00"
01/09/22,Foodpak 295 Matte,1000.00,"Rp1.900,00","Rp1.900.000,00"
02/09/22,Dupleks 350,2000.00,"Rp1.500,00","Rp3.000.000,00"
02/09/22,Dupleks 310,1000.00,"Rp1.500,00","Rp1.500.000,00"
02/09/22,Grease Proof ,1000.00,"Rp500,00","Rp500.000,00"
02/09/22,Ivory 230,2000.00,"Rp945,00","Rp1.890.000,00"
02/09/22,Craft Laminasi 290,5000.00,"Rp800,00","Rp4.000.000,00"
03/09/22,Craft Laminasi 290,6000.00,"Rp950,00","Rp5.700.000,00"
03/09/22,HVS,20000.00,"Rp250,00","Rp5.000.000,00"
05/09/22,Craft Laminasi 290 ,1000.00,"Rp1.100,00","Rp1.100.000,00"
05/09/22,Ivory 230 ,1000.00,"Rp1.200,00","Rp1.200.000,00"
05/09/22,Foodpak 260 Glossy ,5000.00,"Rp1.200,00","Rp6.000.000,00"
07/09/22,Dupleks 310,2000.00,"Rp1.600,00","Rp3.200.000,00"
07/09/22,Dupleks 310,2000.00,"Rp1.600,00","Rp3.200.000,00"
07/09/22,Grease Proof ,1000.00,"Rp400,00","Rp400.000,00"
08/09/22,Craft Laminasi 290,5000.00,"Rp850,00","Rp4.250.000,00"
08/09/22,Dupleks 310,1000.00,"Rp2.000,00","Rp2.000.000,00"
08/09/22,Ivory 270,500,"Rp5.500,00","Rp2.750.000,00"
08/09/22,Dupleks 350,500,"Rp5.500,00","Rp2.750.000,00"
08/09/22,Ivory 300,1000.00,"Rp2.500,00","Rp2.500.000,00"
08/09/22,Grease Proof ,1000.00,"Rp300,00","Rp300.000,00"
08/09/22,Ivory 300,2000.00,"Rp1.500,00","Rp3.000.000,00"
14/09/22,Dupleks 350,1000.00,"Rp2.800,00","Rp2.800.000,00"
14/09/22,Craft Laminasi 290 ,2000.00,"Rp1.950,00","Rp3.900.000,00"
14/09/22,Dupleks 350,2000.00,"Rp1.975,00","Rp3.950.000,00"
14/09/22,Craft Laminasi 290,1000.00,"Rp1.200,00","Rp1.200.000,00"
14/09/22,Foodpak Glossy 260,1000.00,"Rp1.800,00","Rp1.800.000,00"
14/09/22,Foodpak 295 ,1000.00,"Rp1.600,00","Rp1.600.000,00"
14/09/22,Foodpak 295 ,1000.00,"Rp1.600,00","Rp1.600.000,00"
14/09/22,Dupleks 270,1000.00,"Rp1.800,00","Rp1.800.000,00"
14/09/22,Grease Proof,1000.00,"Rp950,00","Rp950.000,00"
14/09/22,Foodpak 260 Glossy,1000.00,"Rp1.600,00","Rp1.600.000,00"
14/09/22,Dupleks 350 ,1000.00,"Rp2.500,00","Rp2.500.000,00"
14/09/22,Dupleks 400,1000.00,"Rp2.500,00","Rp2.500.000,00"
19/09/22,Dupleks 310,500,"Rp1.450,00","Rp725.000,00"
19/09/22,Craft Laminasi 290,5000.00,"Rp1.200,00","Rp6.000.000,00"
19/09/22,Dupleks 310 ,1000.00,"Rp1.400,00","Rp1.400.000,00"
19/09/22,Foodpak 260 Glossy ,1000.00,"Rp1.650,00","Rp1.650.000,00"
19/09/22,Foodpak Matte 245 ,2500.00,"Rp700,00","Rp1.750.000,00"
19/09/22,Dupleks 350,2000.00,"Rp1.600,00","Rp3.200.000,00"
19/09/22,Dupleks 350 ,2000.00,"Rp1.500,00","Rp3.000.000,00"
19/09/22,Dupleks 310  ,1000.00,"Rp1.400,00","Rp1.400.000,00"
19/09/22,Foodpak 260 Glossy ,2000.00,"Rp2.300,00","Rp4.600.000,00"
19/09/22,Craft Laminasi 290 ,4000.00,"Rp1.700,00","Rp6.800.000,00"
19/09/22,Craft Laminasi 290 ,1000.00,"Rp1.200,00","Rp1.200.000,00"
19/09/22,Ivory 250,1000.00,"Rp1.650,00","Rp1.650.000,00"
19/09/22,Craft Laminasi 290 ,3000.00,"Rp1.700,00","Rp5.100.000,00"
19/09/22,Craft Laminasi 290 ,1000.00,"Rp1.200,00","Rp1.200.000,00"
24/09/22,Craft Laminasi 290 ,2000.00,"Rp1.850,00","Rp3.700.000,00"
24/09/22,Craft Laminasi 290 ,2000.00,"Rp900,00","Rp1.800.000,00"
24/09/22,Dupleks 310  ,1000.00,"Rp1.900,00","Rp1.900.000,00"
24/09/22,Dupleks 310  ,1000.00,"Rp1.900,00","Rp1.900.000,00"
24/09/22,Ivory 270 ,2000.00,"Rp950,00","Rp1.900.000,00"
24/09/22,Dupleks 310  ,1000.00,"Rp2.200,00","Rp2.200.000,00"
24/09/22,Dupleks 310 ,1000.00,"Rp1.550,00","Rp1.550.000,00"
24/09/22,Craft Laminasi 290 ,3000.00,"Rp1.000,00","Rp3.000.000,00"
24/09/22,Craft Laminasi 290 ,1000.00,"Rp850,00","Rp850.000,00"
24/09/22,Craft Foodpak 290 ,3000.00,"Rp875,00","Rp2.625.000,00"
24/09/22,Foodpak Matte 295 ,1000.00,"Rp1.900,00","Rp1.900.000,00"
24/09/22,Dupleks 310  ,1000.00,"Rp1.500,00","Rp1.500.000,00"
24/09/22,Craft 290  ,1000.00,"Rp1.350,00","Rp1.350.000,00"
24/09/22,Ivory 230 ,1000.00,"Rp1.600,00","Rp1.600.000,00"
24/09/22,Ivory 230 ,1000.00,"Rp1.600,00","Rp1.600.000,00"
24/09/22,Grease Proof 40,1000.00,"Rp300,00","Rp300.000,00"
24/09/22,Ivory 230,1000.00,"Rp1.700,00","Rp1.700.000,00"
24/09/22,Dupleks 350,1000.00,"Rp3.450,00","Rp3.450.000,00"
24/09/22,Dupleks 310  ,2000.00,"Rp1.800,00","Rp3.600.000,00"
24/09/22,Foodpak 260 Glossy ,5000.00,"Rp1.450,00","Rp7.250.000,00"
24/09/22,Ivory 230,1000.00,"Rp1.150,00","Rp1.150.000,00"
04/10/22,Dupleks 310 ,2000.00,"Rp1.600,00","Rp3.200.000,00"
04/10/22,Foodpak Glossy 260 ,1000.00,"Rp1.800,00","Rp1.800.000,00"
04/10/22,Dupleks 310,3000.00,"Rp1.400,00","Rp4.200.000,00"
05/10/22,Craft Laminasi 290 ,4000.00,"Rp800,00","Rp3.200.000,00"
06/10/22,Craft Foodpak 290 ,1500.00,"Rp875,00","Rp1.312.500,00"
07/10/22,HVS ,20000.00,"Rp250,00","Rp5.000.000,00"
07/10/22,Dupleks 310,3500.00,"Rp1.650,00","Rp5.775.000,00"
08/10/22,Dupleks 310  ,1000.00,"Rp2.200,00","Rp2.200.000,00"
09/10/22,Ivory 270,1000.00,"Rp2.300,00","Rp2.300.000,00"
10/10/22,Grease Proof  Plano,1000.00,"Rp300,00","Rp300.000,00"
11/10/22,Ivory 270,1000.00,"Rp2.700,00","Rp2.700.000,00"
12/10/22,Ivory 230 ,2000.00,"Rp1.450,00","Rp2.900.000,00"
13/10/22,Ivory 230 ,2000.00,"Rp945,00","Rp1.890.000,00"
14/10/22,Craft Laminasi 290 ,2000.00,"Rp1.850,00","Rp3.700.000,00"
15/10/22,Ivory 230 ,1500.00,"Rp1.600,00","Rp2.400.000,00"
16/10/22,Ivory 230,1000.00,"Rp1.700,00","Rp1.700.000,00"
17/10/22,Dupleks 310 ,2000.00,"Rp1.400,00","Rp2.800.000,00"
18/10/22,Dupleks 310 ,1000.00,"Rp1.550,00","Rp1.550.000,00"
19/10/22,Craft Laminasi 290 ,5000.00,"Rp850,00","Rp4.250.000,00"
19/10/22,Ivory 270,1000.00,"Rp2.000,00","Rp2.000.000,00"
19/10/22,Craft Foodpak 290 ,1000.00,"Rp1.200,00","Rp1.200.000,00"
19/10/22,Ivory 270,1000.00,"Rp3.500,00","Rp3.500.000,00"
20/10/22,Craft Laminasi 290 ,5000.00,"Rp1.200,00","Rp6.000.000,00"
21/10/22,Grease Proof,3500.00,"Rp350,00","Rp1.225.000,00"
22/10/22,Ivory 250 ,2000.00,"Rp1.400,00","Rp2.800.000,00"
23/10/22,Dupleks 310  ,3500.00,"Rp1.700,00","Rp5.950.000,00"
24/10/22,Dupleks 350,2000.00,"Rp1.975,00","Rp3.950.000,00"
24/10/22,Dupleks 350,1000.00,"Rp2.200,00","Rp2.200.000,00"
24/10/22,Dupleks 270 Laminating,1000.00,"Rp2.000,00","Rp2.000.000,00"
24/10/22,Ivory 250,1000.00,"Rp1.600,00","Rp1.600.000,00"
24/10/22,Dupleks 310  ,1000.00,"Rp1.900,00","Rp1.900.000,00"
24/10/22,Ivory 270,1000.00,"Rp2.700,00","Rp2.700.000,00"
24/10/22,Ivory 230 ,1000.00,"Rp1.700,00","Rp1.700.000,00"
24/10/22,Dupleks 310  ,1000.00,"Rp1.900,00","Rp1.900.000,00"
24/10/22,Grease Proof,2000.00,"Rp275,00","Rp550.000,00"
24/10/22,PT Sari Indah Packaging Industry,100,"Rp3.500,00","Rp350.000,00"
24/10/22,Craft Laminasi 290 ,2000.00,"Rp1.850,00","Rp3.700.000,00"
24/10/22,Dupleks 350,2000.00,"Rp1.500,00","Rp3.000.000,00"
24/10/22,Craft Laminasi 290 ,4500.00,"Rp1.600,00","Rp7.200.000,00"
24/10/22,Craft 310 ,1000.00,"Rp2.000,00","Rp2.000.000,00"
24/10/22,Dupleks 310,600,"Rp2.450,00","Rp1.470.000,00"
24/10/22,Ivory 230 ,1000.00,"Rp1.100,00","Rp1.100.000,00"
24/10/22,Ivory 230 ,1000.00,"Rp1.300,00","Rp1.300.000,00"
24/10/22,Ivory 250 ,1000.00,"Rp1.700,00","Rp1.700.000,00"
24/10/22,Ivory 250 ,1000.00,"Rp2.000,00","Rp2.000.000,00"
24/10/22,Ivory 300 ,2000.00,"Rp1.500,00","Rp3.000.000,00"
24/10/22,Craft Foodpak 290 ,1000.00,"Rp975,00","Rp975.000,00"
24/10/22,Craft Foodpak 290 ,1000.00,"Rp1.200,00","Rp1.200.000,00"
24/10/22,Grease Proof,1000.00,"Rp800,00","Rp800.000,00"
05/11.2022,Dupleks 310 ,1000.00,"Rp1.550,00","Rp1.550.000,00"
05/11.2022,Craft Laminasi 290 ,2000.00,"Rp900,00","Rp1.800.000,00"
05/11.2022,Ivory 270 ,1000.00,"Rp850,00","Rp850.000,00"
05/11.2022,Ivory 230 ,3000.00,"Rp950,00","Rp2.850.000,00"
05/11.2022,Craft Foodpak 290 ,1500.00,"Rp875,00","Rp1.312.500,00"
08/11/22,Craft Laminasi 290 ,1000.00,"Rp800,00","Rp800.000,00"
08/11/22,Craft Laminasi 290 ,1000.00,"Rp850,00","Rp850.000,00"
10/11/22,Ivory 270,1000.00,"Rp2.000,00","Rp2.000.000,00"
10/11/22,Ivory 270,1000.00,"Rp2.400,00","Rp2.400.000,00"
10/11/22,Ivory 270,1000.00,"Rp2.900,00","Rp2.900.000,00"
10/11/22,Ivory 270,1000.00,"Rp3.550,00","Rp3.550.000,00"
13/11/22,Foodpak Glossy 260 ,1000.00,"Rp1.700,00","Rp1.700.000,00"
13/11/22,Dupleks 310  ,2000.00,"Rp1.800,00","Rp3.600.000,00"
13/11/22,Dupleks 310  ,1000.00,"Rp1.900,00","Rp1.900.000,00"
13/11/22,Ivory 250,1000.00,"Rp1.700,00","Rp1.700.000,00"
13/11/22,Dupleks 310 ,2000.00,"Rp1.300,00","Rp2.600.000,00"
13/11/22,Ivory 230 ,1500.00,"Rp1.600,00","Rp2.400.000,00"
13/11/22,Craft Laminasi 290 ,5000.00,"Rp1.200,00","Rp6.000.000,00"
13/11/22,Ivory 230 ,1000.00,"Rp1.700,00","Rp1.700.000,00"
20/11/22,Dupleks 310 P ,2000.00,"Rp1.600,00","Rp3.200.000,00"
20/11/22,Craft 290 ,1000.00,"Rp1.100,00","Rp1.100.000,00"
20/11/22,Grease Proof,1000.00,"Rp800,00","Rp800.000,00"
20/11/22,Grease Proof,1000.00,"Rp300,00","Rp300.000,00"
20/11/22,Dupleks 310 P,3000.00,"Rp1.400,00","Rp4.200.000,00"
20/11/22,Ivory 250 + Laminasi,1000.00,"Rp2.500,00","Rp2.500.000,00"
20/11/22,HVS ,20000.00,"Rp250,00","Rp5.000.000,00"
20/11/22,Craft Foodpak 290 ,2000.00,"Rp875,00","Rp1.750.000,00"
22/11/22,Craft Laminasi 290 ,3000.00,"Rp800,00","Rp2.400.000,00"
22/11/22,Stiker A3,250,"Rp5.500,00","Rp1.375.000,00"
22/11/22,Dupleks 310  ,2000.00,"Rp1.600,00","Rp3.200.000,00"
22/11/22,Grease Proof,1000.00,"Rp350,00","Rp350.000,00"
22/11/22,Dupleks 270,1000.00,"Rp1.800,00","Rp1.800.000,00"
22/11/22,Dupleks 350  ,2000.00,"Rp1.975,00","Rp3.950.000,00"
22/11/22,Ivory 250 ,1000.00,"Rp1.900,00","Rp1.900.000,00"
22/11/22,Dupleks 350 ,1000.00,"Rp2.250,00","Rp2.250.000,00"
22/11/22,Dupleks 400 ,1000.00,"Rp2.250,00","Rp2.250.000,00"
22/11/22,Dupleks 350,1000.00,"Rp2.200,00","Rp2.200.000,00"
22/11/22,Dupleks 310 ,1000.00,"Rp1.900,00","Rp1.900.000,00"
22/11/22,Ivory 300 ,1000.00,"Rp2.400,00","Rp2.400.000,00"
22/11/22,Grease Proof ,1000.00,"Rp300,00","Rp300.000,00"
23/11/22,Dupleks 310  ,2000.00,"Rp1.800,00","Rp3.600.000,00"
23/11/22,Foodpak 260 Glossy ,5000.00,"Rp1.200,00","Rp6.000.000,00"
23/11/22,Ivory 230 ,2000.00,"Rp945,00","Rp1.890.000,00"
23/11/22,Dupleks 350 ,2000.00,"Rp1.500,00","Rp3.000.000,00"
23/11/22,Ivory 230,1000.00,"Rp1.300,00","Rp1.300.000,00"
23/11/22,Ivory 230 + Laminasi Alas,1000.00,"Rp1.900,00","Rp1.900.000,00"
23/11/22,Craft Laminasi 290 ,2000.00,"Rp1.850,00","Rp3.700.000,00"
23/11/22,Grease Proof ,1000.00,"Rp400,00","Rp400.000,00"
26/11/22,Craft Laminasi 290 ,5000.00,"Rp850,00","Rp4.250.000,00"
26/11/22,Craft Laminasi 290 ,3000.00,"Rp650,00","Rp1.950.000,00"
26/11/22,Craft Biasa 310 ,1000.00,"Rp1.700,00","Rp1.700.000,00"
26/11/22,Craft Laminasi 290 ,3000.00,"Rp1.300,00","Rp3.900.000,00"
26/11/22,Ivory 230 ,1000.00,"Rp1.100,00","Rp1.100.000,00"
26/11/22,Grease Proof ,1000.00,"Rp950,00","Rp950.000,00"
26/11/22,Craft Laminasi 290 ,1000.00,"Rp900,00","Rp900.000,00"
26/11/22,Ivory 230 + Laminating,1000.00,"Rp1.900,00","Rp1.900.000,00"
29/11/22,Dupleks 310 ,1000.00,"Rp1.550,00","Rp1.550.000,00"
29/11/22,Ivory 300,1000.00,"Rp1.500,00","Rp1.500.000,00"
29/11/22,Craft Laminasi 290 ,1000.00,"Rp1.200,00","Rp1.200.000,00"
29/11/22,Ivory 270,1000.00,"Rp2.600,00","Rp2.600.000,00"
29/11/22,Ivory 260 Matte,1000.00,"Rp1.800,00","Rp1.800.000,00"
29/11/22,Craft 310 ,3000.00,"Rp1.400,00","Rp4.200.000,00"
29/11/22,Ivory 250 ,2000.00,"Rp1.400,00","Rp2.800.000,00"
01/12/22,Craft 290 Laminasi ,3000.00,"Rp1.200,00","Rp3.600.000,00"
01/12/22,Foodpak 260 Matte ,1000.00,"Rp1.700,00","Rp1.700.000,00"
01/12/22,Craft 290 Laminasi ,1000.00,"Rp1.500,00","Rp1.500.000,00"
01/12/22,Foodpak 260 Glossy ,5000.00,"Rp1.450,00","Rp7.250.000,00"
02/12/22,Craft Laminasi 290 ,4000.00,"Rp1.600,00","Rp6.400.000,00"
02/12/22,Dupleks 350 ,2000.00,"Rp1.600,00","Rp3.200.000,00"
02/12/22,Ivory 270,2000.00,"Rp1.900,00","Rp3.800.000,00"
03/12/22,Ivory 270,1000.00,"Rp2.900,00","Rp2.900.000,00"
03/12/22,Grease Proof,1000.00,"Rp800,00","Rp800.000,00"
03/12/22,Dupleks 310 ,1000.00,"Rp1.800,00","Rp1.800.000,00"
05/12/22,Ivory 230 ,2000.00,"Rp945,00","Rp1.890.000,00"
05/12/22,Ivory 230,1000.00,"Rp950,00","Rp950.000,00"
06/12/22,Dupleks 310  ,2000.00,"Rp1.600,00","Rp3.200.000,00"
07/12/22,Craft Laminasi 290 ,1000.00,"Rp850,00","Rp850.000,00"
07/12/22,Craft Laminasi 290 ,2500.00,"Rp800,00","Rp2.000.000,00"
07/12/22,Craft Foodpak 290 ,1500.00,"Rp875,00","Rp1.312.500,00"
07/12/22,Craft 300 ,1000.00,"Rp1.650,00","Rp1.650.000,00"
07/12/22,Dupleks 270,1000.00,"Rp1.500,00","Rp1.500.000,00"
07/12/22,Dupleks 310,1000.00,"Rp1.500,00","Rp1.500.000,00"
07/12/22,Ivory 230 ,1000.00,"Rp1.700,00","Rp1.700.000,00"
07/12/22,Dupleks 350  ,1000.00,"Rp2.200,00","Rp2.200.000,00"
07/12/22,HVS ,20000.00,"Rp250,00","Rp5.000.000,00"
07/12/22,Foodpak 260 Matte ,1000.00,"Rp1.100,00","Rp1.100.000,00"
07/12/22,Ivory 230 ,3000.00,"Rp950,00","Rp2.850.000,00"
12/12/22,Dupleks 310  ,1000.00,"Rp2.200,00","Rp2.200.000,00"
12/12/22,Ivory 300,1000.00,"Rp4.300,00","Rp4.300.000,00"
12/12/22,Ivory 300,1000.00,"Rp2.400,00","Rp2.400.000,00"
12/12/22,Ivory 230,1000.00,"Rp1.800,00","Rp1.800.000,00"
12/12/22,Foodpak 295 Matte,1000.00,"Rp1.900,00","Rp1.900.000,00"
12/12/22,Ivory 270,1000.00,"Rp1.750,00","Rp1.750.000,00"
12/12/22,Ivory 230 ,1500.00,"Rp1.600,00","Rp2.400.000,00"
12/12/22,Ivory 230 ,1000.00,"Rp1.650,00","Rp1.650.000,00"
13/12/22,Ivory 230 ,2000.00,"Rp950,00","Rp1.900.000,00"
13/12/22,Craft Laminasi 290,2000.00,"Rp1.200,00","Rp2.400.000,00"
13/12/22,DUPLEKS 310 ,1000.00,"Rp1.200,00","Rp1.200.000,00"
14/12/22,Foodpak 260 Glossy ,2000.00,"Rp2.300,00","Rp4.600.000,00"
14/12/22,Dupleks 270 ,1000.00,"Rp2.000,00","Rp2.000.000,00"
14/12/22,Dupleks 350 ,2000.00,"Rp1.975,00","Rp3.950.000,00"
14/12/22,Kertas Sisa Ivory 300,1000.00,"Rp800,00","Rp800.000,00"
15/12/22,Craft Foodpak 290 Laminasi,1000.00,"Rp1.500,00","Rp1.500.000,00"
15/12/22,Dupleks 270 Eplex,3000.00,"Rp1.300,00","Rp3.900.000,00"
15/12/22,Ivory 270 ,1000.00,"Rp1.500,00","Rp1.500.000,00"
15/12/22,Ivory 350,1000.00,"Rp3.500,00","Rp3.500.000,00"
15/12/22,Dupleks 310,1000.00,"Rp1.300,00","Rp1.300.000,00"
15/12/22,Foodpak Glossy 320 ,1000.00,"Rp3.800,00","Rp3.800.000,00"
15/12/22,Foodpak Glossy 320 ,1000.00,"Rp2.600,00","Rp2.600.000,00"
15/12/22,Craft 310 ,1000.00,"Rp950,00","Rp950.000,00"
15/12/22,Ivory 250,1000.00,"Rp1.700,00","Rp1.700.000,00"
15/12/22,Craft Laminasi 290 ,3000.00,"Rp1.300,00","Rp3.900.000,00"
15/12/22,Dupleks 310 ,2000.00,"Rp1.850,00","Rp3.700.000,00"
15/12/22,Craft 270 ,1000.00,"Rp950,00","Rp950.000,00"
15/12/22,Ivory 230 ,2000.00,"Rp1.450,00","Rp2.900.000,00"
15/12/22,Craft 310 ,5000.00,"Rp1.200,00","Rp6.000.000,00"
15/12/22,PT SARI INDAH,100,"Rp3.000,00","Rp300.000,00"
15/12/22,Craft Laminasi 290 ,2000.00,"Rp1.600,00","Rp3.200.000,00"
15/12/22,Craft Laminasi 290 ,1000.00,"Rp1.200,00","Rp1.200.000,00"
15/12/22,Ivory 250,1000.00,"Rp1.650,00","Rp1.650.000,00"
15/12/22,Dupleks 310,1000.00,"Rp2.300,00","Rp2.300.000,00"
15/12/22,Dupleks 350 P,2000.00,"Rp1.500,00","Rp3.000.000,00"
15/12/22,NCR,100,"Rp18.000,00","Rp1.800.000,00"
15/12/22,Ivory 230,1000.00,"Rp1.200,00","Rp1.200.000,00"
15/12/22,Craft Laminasi 290 ,2000.00,"Rp900,00","Rp1.800.000,00"
15/12/22,Ivory 300 ,2000.00,"Rp1.500,00","Rp3.000.000,00"
15/12/22,Craft 275,1000.00,"Rp1.600,00","Rp1.600.000,00"
15/12/22,Dupleks 350 ,1000.00,"Rp2.200,00","Rp2.200.000,00"
15/12/22,Dupleks 350 ,1000.00,"Rp2.200,00","Rp2.200.000,00"
15/12/22,Foodpak 260 Matte ,1000.00,"Rp1.700,00","Rp1.700.000,00"
15/12/22,Dupleks 310 P ,2000.00,"Rp1.600,00","Rp3.200.000,00"
15/12/22,Ivory 230 ,1000.00,"Rp1.700,00","Rp1.700.000,00"
15/12/22,Craft Laminasi 290 ,1500.00,"Rp850,00","Rp1.275.000,00"
15/12/22,Craft Laminasi 290 ,2000.00,"Rp800,00","Rp1.600.000,00"
15/12/22,Craft Foodpak 290 ,1500.00,"Rp875,00","Rp1.312.500,00"
15/12/22,Dupleks 310 ,2000.00,"Rp1.400,00","Rp2.800.000,00"
15/12/22,Craft 275 Biasa,1000.00,"Rp1.000,00","Rp1.000.000,00"
15/12/22,Grease Proof ,1000.00,"Rp400,00","Rp400.000,00"
01/01/23,Dupleks 310  ,2000.00,"Rp1.800,00","Rp3.600.000,00"
01/01/23,Ivory 230,1000.00,"Rp1.400,00","Rp1.400.000,00"
01/01/23,Dupleks 310  ,2000.00,"Rp1.650,00","Rp3.300.000,00"
01/01/23,Dupleks 350 ,1000.00,"Rp2.250,00","Rp2.250.000,00"
01/01/23,Dupleks 400 ,1000.00,"Rp2.250,00","Rp2.250.000,00"
01/01/23,Ivory 230 ,1500.00,"Rp1.600,00","Rp2.400.000,00"
01/01/23,Dupleks 310 ,1000.00,"Rp1.800,00","Rp1.800.000,00"
01/01/23,Grease Proof ,2000.00,"Rp200,00","Rp400.000,00"
01/01/23,Dupleks 310 ,1000.00,"Rp1.900,00","Rp1.900.000,00"
01/01/23,Dupleks 310 ,2000.00,"Rp2.000,00","Rp4.000.000,00"
01/01/23,Grease Proof ,2000.00,"Rp200,00","Rp400.000,00"
01/01/23,Ivory 230,1000.00,"Rp950,00","Rp950.000,00"
01/01/23,Foodpak 295,1000.00,"Rp1.700,00","Rp1.700.000,00"
01/01/23,Ivory 270,2000.00,"Rp2.250,00","Rp4.500.000,00"
01/01/23,Ivory 270,1000.00,"Rp1.750,00","Rp1.750.000,00"
06/01/23,Craft Laminasi 290 ,4000.00,"Rp1.600,00","Rp6.400.000,00"
06/01/23,Duplex 310,5000.00,"Rp1.100,00","Rp5.500.000,00"
06/01/23,Ivory 230,1000.00,"Rp1.000,00","Rp1.000.000,00"
06/01/23,Foodpak 245  Matte,1000.00,"Rp1.800,00","Rp1.800.000,00"
06/01/23,Ivory 230,1000.00,"Rp1.700,00","Rp1.700.000,00"
06/01/23,Foodpak 260 ,1000.00,"Rp1.700,00","Rp1.700.000,00"
06/01/23,Foodpak 260 ,1000.00,"Rp1.800,00","Rp1.800.000,00"
06/01/23,Ivory 230,1000.00,"Rp1.700,00","Rp1.700.000,00"
06/01/23,Craft Laminasi 290 ,5000.00,"Rp850,00","Rp4.250.000,00"
